TIMESTAMP,COIN,STOCKMARKET,PRICE
1566604800,ETH,TMA,194.67
1566518400,ETH,TMA,191.11
1566432000,ETH,TMA,186.94
1566345600,ETH,TMA,196.62
1566259200,ETH,TMA,202.81
1566172800,ETH,TMA,194.56
1566086400,ETH,TMA,185.84
1566000000,ETH,TMA,185.53
1565913600,ETH,TMA,188.64
1565827200,ETH,TMA,186.68
1565740800,ETH,TMA,208.6
1565654400,ETH,TMA,211.34
1565568000,ETH,TMA,216.06
1565481600,ETH,TMA,206.73
1565395200,ETH,TMA,210.53
1565308800,ETH,TMA,220.91
1565222400,ETH,TMA,226.52
1565136000,ETH,TMA,225.93
1565049600,ETH,TMA,234.25
1564963200,ETH,TMA,222.65
1564876800,ETH,TMA,222.58
1564790400,ETH,TMA,217.9
1564704000,ETH,TMA,217.88
1564617600,ETH,TMA,218.55
1564531200,ETH,TMA,210.49
1564444800,ETH,TMA,211.34
1564358400,ETH,TMA,211.12
1564272000,ETH,TMA,207.41
1564185600,ETH,TMA,219.62
1564099200,ETH,TMA,219.63
1564012800,ETH,TMA,216.97
1563926400,ETH,TMA,212.55
1563840000,ETH,TMA,217.57
1563753600,ETH,TMA,225.7
1563667200,ETH,TMA,229.17
1563580800,ETH,TMA,221.41
1563494400,ETH,TMA,226.66
1563408000,ETH,TMA,211.44
1563321600,ETH,TMA,199.07
1563235200,ETH,TMA,229.75
1563148800,ETH,TMA,227.97
1563062400,ETH,TMA,269.28
1562976000,ETH,TMA,276.29
1562889600,ETH,TMA,268.69
1562803200,ETH,TMA,289.95
1562716800,ETH,TMA,308.85
1562630400,ETH,TMA,313.33
1562544000,ETH,TMA,305.73
1562457600,ETH,TMA,287.6
1562371200,ETH,TMA,287.89
